Symbol,Company,Industry,cs,trend,earnings,flows,composite
SYRMA,Syrma SGS Technology Ltd.,Capital Goods,96.41,99.8,86.1,24.0,88.64
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,Financial Services,91.98,98.39,85.6,44.9,88.24
GVT&D,GE Vernova T&D India Ltd.,Capital Goods,97.47,80.95,92.9,46.3,86.71
RRKABEL,R R Kabel Ltd.,Capital Goods,92.83,92.14,87.2,41.0,86.59
LAURUSLABS,Laurus Labs Ltd.,Healthcare,98.95,89.31,75.9,35.3,86.23
FEDERALBNK,Federal Bank Ltd.,Financial Services,84.39,97.38,,61.1,86.23
BELRISE,Belrise Industries Ltd.,Automobile and Auto Components,97.26,97.88,58.6,35.3,85.45
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,85.44,96.77,,49.4,85.2
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,94.51,93.75,53.7,55.0,84.21
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services,83.12,93.95,,58.9,84.09
APARINDS,Apar Industries Ltd.,Capital Goods,92.19,100.0,55.8,41.4,84.0
CUMMINSIND,Cummins India Ltd.,Capital Goods,95.15,88.51,72.9,34.5,83.75
BSE,BSE Ltd.,Financial Services,93.25,87.1,84.8,28.8,83.69
ASTERDM,Aster DM Healthcare Ltd.,Healthcare,86.71,94.76,,32.6,83.18
J&KBANK,Jammu & Kashmir Bank Ltd.,Financial Services,83.33,99.4,,32.6,83.03
ANANDRATHI,Anand Rathi Wealth Ltd.,Financial Services,98.31,76.21,70.5,51.8,82.86
ACUTAAS,Acutaas Chemicals Ltd.,Healthcare,99.79,76.01,77.9,33.5,82.74
NAM-INDIA,Nippon Life India Asset Management Ltd.,Financial Services,90.51,90.02,75.0,36.8,82.66
DATAPATTNS,Data Patterns (India) Ltd.,Capital Goods,87.34,94.15,,25.8,82.51
WELCORP,Welspun Corp Ltd.,Capital Goods,96.84,87.7,60.1,33.2,82.22
HFCL,HFCL Ltd.,Telecommunication,98.73,76.41,70.1,41.7,82.04
HSCL,Himadri Speciality Chemical Ltd.,Chemicals,84.18,95.56,,30.3,81.86
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,90.72,94.56,57.3,40.0,81.78
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods,85.02,91.43,,36.2,81.54
ATHERENERG,Ather Energy Ltd.,Automobile and Auto Components,98.52,95.16,41.7,23.0,81.44
ACMESOLAR,ACME Solar Holdings Ltd.,Power,78.27,96.98,,48.8,81.41
POLYCAB,Polycab India Ltd.,Capital Goods,94.73,90.02,63.6,22.2,81.39
KEI,KEI Industries Ltd.,Capital Goods,90.93,90.93,64.8,27.4,80.66
SAILIFE,Sai Life Sciences Ltd.,Healthcare,88.19,95.36,60.7,31.6,80.56
USHAMART,Usha Martin Ltd.,Capital Goods,85.86,85.89,,38.1,80.25
IFCI,IFCI Ltd.,Financial Services,71.73,99.09,,60.1,80.02
MARICO,Marico Ltd.,Fast Moving Consumer Goods,91.14,79.84,70.4,44.2,79.94
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,84.81,88.1,,33.0,79.88
POWERINDIA,Hitachi Energy India Ltd.,Capital Goods,99.16,67.34,73.3,40.5,79.87
MCX,Multi Commodity Exchange of India Ltd.,Financial Services,100.0,57.56,91.7,38.4,79.86
MAHABANK,Bank of Maharashtra,Financial Services,93.88,99.6,33.3,25.2,79.64
RBLBANK,RBL Bank Ltd.,Financial Services,88.4,98.59,45.8,32.3,79.46
ADANIGREEN,Adani Green Energy Ltd.,Power,86.5,88.81,,19.4,79.42
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,80.59,92.54,,33.8,79.3
NETWEB,Netweb Technologies India Ltd.,Information Technology,89.03,87.4,62.0,36.7,79.25
VTL,Vardhman Textiles Ltd.,Textiles,87.97,95.87,54.1,26.2,79.08
BANDHANBNK,Bandhan Bank Ltd.,Financial Services,82.28,90.52,,29.2,78.94
