Symbol,Company,Industry,setup,entry,stop_loss,risk_pct,target_1,target_2,rr_target_1,rr_target_2,suggested_qty,capital_at_risk,composite,earnings_score,delivery_pct,pct_of_52w_high,holding,exit_rule
SYRMA,Syrma SGS Technology Ltd.,Capital Goods,"established uptrend (MA-aligned, near 52w high)",1301.1,1144.97,12.0,1613.36,1847.56,2.0,3.5,32,4996.0,88.6,86.1,29.0,0.97,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,Financial Services,"established uptrend (MA-aligned, near 52w high)",1146.1,1008.57,12.0,1421.16,1627.46,2.0,3.5,36,4951.0,88.2,85.6,65.6,0.99,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
GVT&D,GE Vernova T&D India Ltd.,Capital Goods,"established uptrend (MA-aligned, near 52w high)",4805.5,4228.84,12.0,5958.82,6823.81,2.0,3.5,8,4613.0,86.7,92.9,42.0,0.92,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
RRKABEL,R R Kabel Ltd.,Capital Goods,"established uptrend (MA-aligned, near 52w high)",2187.4,1924.91,12.0,2712.38,3106.11,2.0,3.5,19,4987.0,86.6,87.2,44.7,0.98,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
FEDERALBNK,Federal Bank Ltd.,Financial Services,"established uptrend (MA-aligned, near 52w high)",317.1,283.3,10.66,384.71,435.41,2.0,3.5,147,4969.0,86.2,,48.8,0.99,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
LAURUSLABS,Laurus Labs Ltd.,Healthcare,"established uptrend (MA-aligned, near 52w high)",1389.1,1222.41,12.0,1722.48,1972.52,2.0,3.5,29,4834.0,86.2,75.9,46.7,0.95,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
BELRISE,Belrise Industries Ltd.,Automobile and Auto Components,"established uptrend (MA-aligned, near 52w high)",238.26,209.67,12.0,295.44,338.33,2.0,3.5,174,4975.0,85.5,58.6,30.4,0.98,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,"established uptrend (MA-aligned, near 52w high)",8468.5,7725.24,8.78,9955.03,11069.93,2.0,3.5,6,4460.0,85.2,,58.4,0.98,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,"established uptrend (MA-aligned, near 52w high)",4504.0,4149.3,7.88,5213.4,5745.45,2.0,3.5,14,4966.0,84.2,53.7,52.9,0.96,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services,"established uptrend (MA-aligned, near 52w high)",272.8,252.94,7.28,312.53,342.33,2.0,3.5,251,4986.0,84.1,,59.1,0.96,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
APARINDS,Apar Industries Ltd.,Capital Goods,"established uptrend (MA-aligned, near 52w high)",15986.0,14067.68,12.0,19822.64,22700.12,2.0,3.5,2,3837.0,84.0,55.8,37.8,0.99,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
CUMMINSIND,Cummins India Ltd.,Capital Goods,"established uptrend (MA-aligned, near 52w high)",5754.0,5160.64,10.31,6940.71,7830.75,2.0,3.5,8,4747.0,83.8,72.9,48.2,0.94,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
BSE,BSE Ltd.,Financial Services,"established uptrend (MA-aligned, near 52w high)",4126.0,3665.89,11.15,5046.23,5736.4,2.0,3.5,10,4601.0,83.7,84.8,29.1,0.93,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
ASTERDM,Aster DM Healthcare Ltd.,Healthcare,"established uptrend (MA-aligned, near 52w high)",786.7,705.75,10.29,948.61,1070.04,2.0,3.5,61,4938.0,83.2,,42.9,0.94,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
J&KBANK,Jammu & Kashmir Bank Ltd.,Financial Services,"established uptrend (MA-aligned, near 52w high)",159.91,140.72,12.0,198.29,227.07,2.0,3.5,260,4989.0,83.0,,40.5,0.98,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
NAM-INDIA,Nippon Life India Asset Management Ltd.,Financial Services,"established uptrend (MA-aligned, near 52w high)",1140.1,1010.46,11.37,1399.37,1593.83,2.0,3.5,38,4926.0,82.7,75.0,45.1,0.99,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
ACUTAAS,Acutaas Chemicals Ltd.,Healthcare,"established uptrend (MA-aligned, near 52w high)",3096.7,2725.1,12.0,3839.91,4397.31,2.0,3.5,13,4831.0,82.7,77.9,45.2,0.9,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
DATAPATTNS,Data Patterns (India) Ltd.,Capital Goods,"established uptrend (MA-aligned, near 52w high)",4425.5,3894.44,12.0,5487.62,6284.21,2.0,3.5,9,4780.0,82.5,,17.6,0.94,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
WELCORP,Welspun Corp Ltd.,Capital Goods,"established uptrend (MA-aligned, near 52w high)",1379.7,1214.14,12.0,1710.83,1959.17,2.0,3.5,30,4967.0,82.2,60.1,35.5,0.97,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
HFCL,HFCL Ltd.,Telecommunication,"established uptrend (MA-aligned, near 52w high)",180.45,158.8,12.0,223.76,256.24,2.0,3.5,230,4980.0,82.0,70.1,55.6,0.86,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
HSCL,Himadri Speciality Chemical Ltd.,Chemicals,"established uptrend (MA-aligned, near 52w high)",668.9,588.63,12.0,829.44,949.84,2.0,3.5,62,4977.0,81.9,,10.6,0.95,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,"established uptrend (MA-aligned, near 52w high)",2217.8,2034.08,8.28,2585.24,2860.82,2.0,3.5,27,4960.0,81.8,57.3,52.3,0.96,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods,"established uptrend (MA-aligned, near 52w high)",935.5,823.24,12.0,1160.02,1328.41,2.0,3.5,44,4939.0,81.5,,34.1,0.98,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
ATHERENERG,Ather Energy Ltd.,Automobile and Auto Components,"established uptrend (MA-aligned, near 52w high)",1027.4,904.11,12.0,1273.98,1458.91,2.0,3.5,40,4932.0,81.4,41.7,21.8,0.96,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
ACMESOLAR,ACME Solar Holdings Ltd.,Power,"established uptrend (MA-aligned, near 52w high)",347.25,305.58,12.0,430.59,493.1,2.0,3.5,119,4959.0,81.4,,47.0,0.95,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
