Symbol,Company,Industry,setup,entry,stop_loss,risk_pct,target_1,target_2,rr_target_1,rr_target_2,suggested_qty,capital_at_risk,composite,rsi_14,delivery_pct,holding,exit_rule
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,Financial Services,20d breakout,1146.1,1064.64,7.11,1268.29,1349.74,1.5,2.5,61,4969.0,88.2,65.7,65.6,5-20 sessions,"Book 50% at T1, trail rest at 20DMA; hard exit on close below stop or 20DMA"
GVT&D,GE Vernova T&D India Ltd.,Capital Goods,pullback to 20DMA,4805.5,4558.1,5.15,5176.61,5424.01,1.5,2.5,20,4948.0,86.7,51.6,42.0,5-20 sessions,"Book 50% at T1, trail rest at 20DMA; hard exit on close below stop or 20DMA"
BELRISE,Belrise Industries Ltd.,Automobile and Auto Components,20d breakout,238.26,222.41,6.65,262.04,277.9,1.5,2.5,315,4994.0,85.5,65.0,30.4,5-20 sessions,"Book 50% at T1, trail rest at 20DMA; hard exit on close below stop or 20DMA"
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,pullback to 20DMA,4504.0,4267.53,5.25,4858.7,5095.17,1.5,2.5,21,4966.0,84.2,56.3,52.9,5-20 sessions,"Book 50% at T1, trail rest at 20DMA; hard exit on close below stop or 20DMA"
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services,pullback to 20DMA,272.8,259.56,4.85,292.66,305.91,1.5,2.5,377,4993.0,84.1,56.4,59.1,5-20 sessions,"Book 50% at T1, trail rest at 20DMA; hard exit on close below stop or 20DMA"
J&KBANK,Jammu & Kashmir Bank Ltd.,Financial Services,20d breakout,159.91,149.62,6.43,175.34,185.62,1.5,2.5,486,4999.0,83.0,71.9,40.5,5-20 sessions,"Book 50% at T1, trail rest at 20DMA; hard exit on close below stop or 20DMA"
IFCI,IFCI Ltd.,Financial Services,20d breakout,89.6,78.61,12.27,106.09,117.08,1.5,2.5,454,4990.0,80.0,70.9,20.2,5-20 sessions,"Book 50% at T1, trail rest at 20DMA; hard exit on close below stop or 20DMA"
RBLBANK,RBL Bank Ltd.,Financial Services,20d breakout,372.65,351.3,5.73,404.68,426.03,1.5,2.5,234,4996.0,79.5,68.5,42.6,5-20 sessions,"Book 50% at T1, trail rest at 20DMA; hard exit on close below stop or 20DMA"
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,20d breakout,1000.65,943.63,5.7,1086.18,1143.2,1.5,2.5,87,4961.0,79.3,61.9,48.0,5-20 sessions,"Book 50% at T1, trail rest at 20DMA; hard exit on close below stop or 20DMA"
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components,20d breakout,7624.5,7285.0,4.45,8133.75,8473.25,1.5,2.5,14,4753.0,78.7,67.4,38.4,5-20 sessions,"Book 50% at T1, trail rest at 20DMA; hard exit on close below stop or 20DMA"
