Ticker,Date,Close,Prev_Close,Fut_OI,Prev_Fut_OI,Put_OI,Call_OI,Days_To_Expiry,Rollover_Pct
360ONE,2026-09-15,1055.1,1094.8,3835000,3923500,1741500,2751000,14,2.7
ABB,2026-09-15,7020.5,7279.5,1733750,1742250,814375,1017125,14,3.0
ABCAPITAL,2026-09-15,381.25,396.35,38815100,38176500,12747200,15314000,14,3.4
ADANIENSOL,2026-09-15,1347.6,1382.0,22241925,22291200,4452975,9317025,14,2.1
ADANIENT,2026-09-15,2932.7,3071.6,15284685,16006509,4723683,8215692,14,3.9
ADANIGREEN,2026-09-15,1256.8,1288.5,24362400,24687600,3768600,5294400,14,1.6
ADANIPORTS,2026-09-15,1724.9,1766.4,16161400,16781750,7122150,8648800,14,5.2
ADANIPOWER,2026-09-15,201.96,210.82,182217950,182558750,38666600,68117400,14,4.8
ALKEM,2026-09-15,5213.5,5118.5,1644875,1606250,259500,377375,14,5.1
AMBER,2026-09-15,6988.0,7251.0,1289900,1291300,561500,907700,14,2.2
AMBUJACEM,2026-09-15,381.35,394.2,91101600,91704000,9618000,16321200,14,3.9
ANGELONE,2026-09-15,298.55,307.15,26935000,28240000,14035000,26910000,14,8.5
APLAPOLLO,2026-09-15,2128.2,2166.1,12995850,12764500,1425550,2634450,14,1.2
APOLLOHOSP,2026-09-15,8774.0,8893.5,2210875,2269500,850000,1276000,14,12.8
ASHOKLEY,2026-09-15,157.62,164.84,129950000,130220000,57160000,97645000,14,6.6
ASIANPAINT,2026-09-15,2415.8,2469.8,6933000,7133500,3084750,5327500,14,14.0
ASTRAL,2026-09-15,1382.5,1417.9,6061350,5999725,1566975,3808850,14,5.1
ATHERENERG,2026-09-15,1559.1,1657.3,3892875,3844125,2520750,6030000,14,4.4
AUBANK,2026-09-15,1029.4,1059.9,20516000,20636000,6461000,9866000,14,12.5
AUROPHARMA,2026-09-15,1650.2,1678.2,11248600,11391600,2534400,5995550,14,1.5
AXISBANK,2026-09-15,1229.0,1252.6,88875000,91567500,10663125,19575000,14,3.0
BAJAJ-AUTO,2026-09-15,11473.0,11705.0,1597050,1590600,1224450,1524000,14,1.8
BAJAJFINSV,2026-09-15,1867.3,1926.5,7370100,7510500,3324600,6655800,14,7.3
BAJAJHLDNG,2026-09-15,11034.0,11080.0,252300,252750,38775,89775,14,2.0
BAJFINANCE,2026-09-15,1008.2,1037.9,58639500,60537000,13995000,19951500,14,15.4
BANDHANBNK,2026-09-15,172.88,177.16,111175200,114066000,20278800,30049200,14,11.3
BANKBARODA,2026-09-15,232.77,238.07,140060700,141204375,41847975,50488425,14,6.6
BANKINDIA,2026-09-15,137.37,140.33,73918000,74245600,31408000,31366400,14,5.2
BDL,2026-09-15,1113.0,1178.2,8360600,7895225,5234725,12193250,14,13.4
BEL,2026-09-15,384.75,404.6,97410150,99221325,31275900,59392575,14,11.2
BHARATFORG,2026-09-15,1877.2,1947.6,8556000,8322500,2737000,3986000,14,2.6
BHARTIARTL,2026-09-15,1827.6,1840.9,51275775,52867975,12582275,24575075,14,18.3
BHEL,2026-09-15,415.2,432.5,76419000,76566000,19666500,35700000,14,4.6
BIOCON,2026-09-15,382.8,391.9,54855000,56225000,16410000,35640000,14,4.6
BLUESTARCO,2026-09-15,1469.3,1546.8,6006650,6086275,1323075,1640925,14,13.2
BOSCHLTD,2026-09-15,47345.0,48525.0,184000,185650,146300,139050,14,9.2
BPCL,2026-09-15,300.7,306.15,31141800,31657275,10007325,12598525,14,13.4
BRITANNIA,2026-09-15,4976.0,4988.5,2234500,2276000,895000,1501875,14,1.7
BSE,2026-09-15,3311.3,3400.8,11341200,11505200,6608200,9841400,14,8.7
CAMS,2026-09-15,711.85,714.2,9053550,9135225,4167075,6151200,14,4.7
CANBK,2026-09-15,122.33,124.31,347847750,348718500,63504000,96356250,14,8.3
CDSL,2026-09-15,1305.7,1358.2,11935800,11997550,5268225,9451075,14,11.1
CGPOWER,2026-09-15,853.4,915.7,16827450,17318750,6171000,8402250,14,3.7
CHOLAFIN,2026-09-15,1790.0,1846.8,12458750,13308750,2606875,3068750,14,4.1
CIPLA,2026-09-15,1351.0,1364.8,10089500,10308375,3582750,6033725,14,4.9
COALINDIA,2026-09-15,419.65,427.45,96336000,98255700,26833950,39337650,14,2.6
COCHINSHIP,2026-09-15,1319.4,1385.2,5877600,5750000,3113200,6722000,14,9.3
COFORGE,2026-09-15,1782.2,1858.7,14282775,14111775,7312625,10944475,14,2.5
COLPAL,2026-09-15,1831.6,1801.7,5586900,5752175,2287725,2853950,14,6.7
CONCOR,2026-09-15,485.95,502.85,23538750,23733750,4866250,8455000,14,4.1
CROMPTON,2026-09-15,226.39,231.88,74108350,74411500,13689050,22448150,14,2.9
CUMMINSIND,2026-09-15,4903.0,5102.0,5698200,5764000,1170200,1239400,14,6.3
DABUR,2026-09-15,385.6,377.15,28498750,30958750,10293750,14718750,14,7.5
DELHIVERY,2026-09-15,418.9,440.85,24038875,24781725,8086275,12759175,14,2.9
DIVISLAB,2026-09-15,9195.5,9373.5,3106500,3252500,1512500,2073900,14,8.6
DIXON,2026-09-15,13191.0,13451.0,3070500,3111150,1089150,2924050,14,9.9
DLF,2026-09-15,623.6,644.6,44085700,45086050,6284250,13148950,14,3.4
DMART,2026-09-15,3691.4,3704.9,5038650,5052300,1316700,2384700,14,3.0
DRREDDY,2026-09-15,1142.4,1168.7,19053125,18887500,5737500,9833750,14,8.4
EICHERMOT,2026-09-15,7501.5,7576.5,3031600,3015000,1636000,1737100,14,10.0
ETERNAL,2026-09-15,316.9,323.75,146220225,148521550,27540725,63568950,14,5.3
FEDERALBNK,2026-09-15,342.7,344.0,75220000,77497500,16450000,27137500,14,10.1
FORCEMOT,2026-09-15,17168.0,17706.0,248750,241000,75275,182700,14,7.5
FORTIS,2026-09-15,877.65,892.25,12283750,12162075,1570150,1942150,14,1.7
GAIL,2026-09-15,170.39,174.57,68394300,69576450,17242350,27295950,14,6.5
GLENMARK,2026-09-15,2368.9,2423.5,11392500,11374500,1059000,2072250,14,0.4
GMRAIRPORT,2026-09-15,93.15,97.32,146370375,147849075,48594825,62286750,14,4.6
GODFRYPHLP,2026-09-15,1896.2,1928.5,1458600,1451725,429000,943525,14,5.9
GODREJCP,2026-09-15,861.95,866.15,12324500,12450500,5118500,7995000,14,6.2
GODREJPROP,2026-09-15,1666.7,1757.4,8492900,8435375,2986425,5936125,14,9.6
GRASIM,2026-09-15,3170.6,3272.6,8146000,7913750,1375750,2286750,14,4.8
GVT&D,2026-09-15,4234.2,4547.9,3139375,3008750,1416000,2094125,14,9.6
HAL,2026-09-15,4694.3,4937.6,5550300,5461650,2449500,4512300,14,7.1
HAVELLS,2026-09-15,1083.3,1105.1,10784000,10741000,2723000,5115500,14,8.3
HCLTECH,2026-09-15,1258.5,1213.1,24592800,25161200,6953600,9992400,14,3.4
HDFCAMC,2026-09-15,2389.7,2418.7,6918900,7348500,1508400,2057400,14,2.8
HDFCBANK,2026-09-15,719.65,710.7,350759500,359310250,90421500,159959150,14,14.5
HDFCLIFE,2026-09-15,519.75,530.7,50890400,51955200,15436300,27261300,14,5.5
HEROMOTOCO,2026-09-15,5193.5,5236.0,3722250,3778800,1504500,3175500,14,5.2
HINDALCO,2026-09-15,964.6,987.2,46395300,46263000,9285500,13668900,14,4.2
HINDPETRO,2026-09-15,345.6,354.75,38359575,38541825,10819575,13205025,14,9.7
HINDUNILVR,2026-09-15,1950.4,1939.8,14237100,14736900,6376500,10797900,14,10.7
HINDZINC,2026-09-15,561.95,579.45,29706250,29850800,15121400,27275850,14,4.4
HYUNDAI,2026-09-15,2139.2,2178.2,4106025,3955600,1526525,1410475,14,4.2
ICICIBANK,2026-09-15,1359.7,1388.6,94146500,95800600,21072800,38496500,14,18.8
ICICIGI,2026-09-15,1438.8,1463.6,6565325,6396325,1461200,2666300,14,7.1
ICICIPRULI,2026-09-15,460.0,473.8,16468700,16284625,4046875,6442625,14,7.3
IDEA,2026-09-15,14.45,14.99,5723646525,5794764150,928603200,2087713275,14,5.9
IDFCFIRSTB,2026-09-15,85.07,86.74,370554800,375906475,94094875,133420875,14,5.8
IEX,2026-09-15,111.74,113.93,78069450,78352200,17900250,36831450,14,4.2
INDHOTEL,2026-09-15,717.85,722.1,26956000,27178000,3472000,5804000,14,6.5
INDIANB,2026-09-15,835.1,858.3,9415000,9408000,5747000,9066000,14,4.1
INDIGO,2026-09-15,4808.5,4981.0,6172500,6203250,2367450,3899250,14,5.1
INDUSINDBK,2026-09-15,956.6,983.9,36569400,36171800,5094600,6536600,14,3.7
INDUSTOWER,2026-09-15,380.25,388.65,93834900,95023200,11531100,19672400,14,2.3
INFY,2026-09-15,1081.0,1042.5,74981200,79393200,21716800,36367600,14,3.6
INOXWIND,2026-09-15,75.32,76.56,108819200,110931200,23513600,37299200,14,7.0
IOC,2026-09-15,133.1,135.83,137509125,138133125,30200625,39180375,14,5.6
IREDA,2026-09-15,108.03,111.32,90332575,89305400,27335525,49942425,14,17.2
IRFC,2026-09-15,78.99,81.27,90830775,90309975,41164900,68566575,14,14.3
ITC,2026-09-15,259.5,261.5,154884300,158848350,58365375,105081825,14,10.4
JINDALSTEL,2026-09-15,1098.3,1119.9,13013125,13500000,3849375,3824375,14,18.6
JIOFIN,2026-09-15,226.68,231.36,206842300,212252000,66885700,109881300,14,10.5
JSWENERGY,2026-09-15,507.55,525.95,27253400,27217925,3819475,7355150,14,2.2
JSWSTEEL,2026-09-15,1237.7,1272.0,39372075,39602925,5869125,8928225,14,3.2
JUBLFOOD,2026-09-15,465.75,471.8,23658750,23902500,4007500,7567500,14,4.5
KALYANKJIL,2026-09-15,604.95,604.3,26214300,28333800,17473050,26477550,14,2.7
KAYNES,2026-09-15,3268.2,3451.0,3690750,3731250,1552650,2205450,14,7.2
KEI,2026-09-15,4497.5,4584.5,2502150,2467850,2361800,4170075,14,10.4
KFINTECH,2026-09-15,876.4,898.9,5314150,5379700,1768125,3876650,14,7.2
KOTAKBANK,2026-09-15,412.25,419.05,163630000,165190000,38164000,68040000,14,12.5
KPITTECH,2026-09-15,565.3,555.55,9985875,10414450,3411550,7451625,14,6.1
LAURUSLABS,2026-09-15,1928.6,1978.8,17357000,17576300,7194400,11466500,14,7.5
LICHSGFIN,2026-09-15,543.0,566.85,31505000,31226000,7314000,8140000,14,27.9
LICI,2026-09-15,391.85,406.7,49953400,49586600,14221200,19919200,14,5.6
LODHA,2026-09-15,1059.7,1118.7,10070625,9919375,6279375,6813125,14,6.5
LT,2026-09-15,3844.6,3936.9,11003125,11221875,3689700,7576100,14,8.8
LTF,2026-09-15,295.55,310.75,47857500,47864250,17979750,19026000,14,4.5
LTM,2026-09-15,4350.0,4251.1,4533150,4757700,841500,1323450,14,10.9
LUPIN,2026-09-15,2058.9,2096.5,8288775,8316400,2867475,4209200,14,3.9
M&M,2026-09-15,3051.3,3119.2,11749400,12180800,3928400,8039400,14,6.5
MAHABANK,2026-09-15,79.76,84.89,33657000,34268000,14001000,32760000,14,2.9
MANAPPURAM,2026-09-15,318.7,326.7,71301000,71607000,12291000,21471000,14,1.3
MANKIND,2026-09-15,2287.8,2281.2,2711250,2743000,965750,1194500,14,1.7
MARICO,2026-09-15,795.9,806.3,17391600,17180400,3868800,6444000,14,6.2
MARUTI,2026-09-15,12278.0,12484.0,1997050,2004750,1578800,3775100,14,22.9
MAXHEALTH,2026-09-15,1031.1,1039.5,8827350,8997450,2376675,3458175,14,14.1
MAZDOCK,2026-09-15,2233.0,2336.0,4721175,4808250,1943325,4056075,14,6.0
MCX,2026-09-15,3181.3,3301.5,6948675,6860925,4313475,7083675,14,4.3
MFSL,2026-09-15,1434.7,1483.3,6741600,6822400,752400,1524400,14,0.7
MOTHERSON,2026-09-15,159.14,164.44,137483250,136634550,31838550,34390800,14,4.9
MOTILALOFS,2026-09-15,987.8,1032.7,4712000,4894125,1440725,3585925,14,2.5
MPHASIS,2026-09-15,2379.9,2312.7,5516500,5300075,838200,1244650,14,0.7
MUTHOOTFIN,2026-09-15,2739.8,2812.7,7509425,7514100,3280200,6845850,14,5.0
NAM-INDIA,2026-09-15,1157.3,1191.0,8235000,8303750,1276250,1811875,14,0.9
NATIONALUM,2026-09-15,351.85,362.1,39348750,40237500,18210000,28164375,14,3.2
NAUKRI,2026-09-15,1266.8,1258.9,13863300,13592700,1421750,3290650,14,2.7
NBCC,2026-09-15,80.48,83.28,94861000,96609500,15327000,45006000,14,3.9
NESTLEIND,2026-09-15,1371.0,1381.5,9043000,9154000,1894000,3293500,14,3.0
NHPC,2026-09-15,76.07,76.96,131507900,131542650,32456500,34089750,14,4.7
NMDC,2026-09-15,80.76,82.89,324553500,326207250,41040000,82728000,14,12.0
NTPC,2026-09-15,328.1,333.5,115327500,117472500,15864000,38238000,14,2.0
NYKAA,2026-09-15,338.1,343.8,30684375,31481250,5425000,9125000,14,2.4
OBEROIRLTY,2026-09-15,1678.8,1756.0,4473700,4508350,1516900,3469200,14,3.0
OFSS,2026-09-15,11660.0,11674.0,1140500,1159500,662400,1006100,14,5.0
OIL,2026-09-15,485.95,489.8,13484800,13631800,4275600,8951600,14,3.4
ONGC,2026-09-15,234.13,234.12,57903750,59753250,19876500,71120250,14,8.3
PAGEIND,2026-09-15,34850.0,35320.0,227820,229680,41400,96540,14,2.2
PATANJALI,2026-09-15,336.9,340.1,35249250,35158950,3673275,6246825,14,1.3
PAYTM,2026-09-15,1740.4,1820.8,16665575,17850225,10672725,18309875,14,4.7
PERSISTENT,2026-09-15,5498.5,5528.5,3340125,3470375,1191625,1854500,14,4.8
PETRONET,2026-09-15,280.9,286.95,29837600,29313200,4723400,10058600,14,2.8
PFC,2026-09-15,345.7,353.65,94091400,94055000,21060000,33433400,14,4.6
PGEL,2026-09-15,517.95,545.0,11480750,11462700,3784800,6948300,14,2.7
PHOENIXLTD,2026-09-15,1847.0,1897.6,3728200,3721550,593250,1258600,14,0.6
PIDILITIND,2026-09-15,1531.9,1566.8,4992000,5114000,925500,1408500,14,3.6
