Date,Index,Open,High,Low,Close,Chg_Pct
2026-08-28,BANKNIFTY,57429.75,57596.4,57264.0,57496.3,-0.02
2026-08-31,BANKNIFTY,57353.75,58024.95,57187.35,58024.95,0.92
2026-09-01,BANKNIFTY,57560.3,57766.25,57150.7,57409.6,-1.06
2026-09-02,BANKNIFTY,57006.45,57221.1,56823.2,57172.0,-0.41
2026-09-03,BANKNIFTY,57497.85,57753.6,57380.6,57380.6,0.36
2026-09-04,BANKNIFTY,57492.65,57677.15,57324.55,57369.65,-0.02
2026-08-28,NIFTY50,24122.6,24188.3,24076.85,24175.65,0.35
2026-08-31,NIFTY50,24117.55,24128.7,23993.6,24080.4,-0.39
2026-09-01,NIFTY50,24077.55,24143.15,23952.55,24055.8,-0.1
2026-09-02,NIFTY50,23858.0,23914.45,23786.8,23914.45,-0.59
2026-09-03,NIFTY50,23997.95,24025.4,23873.45,23873.45,-0.17
2026-09-04,NIFTY50,23910.9,24005.75,23895.85,23897.7,0.1
